"subplot_id","tag","species","band_in","date","notes"
"A01E",2783,"FAGR",0.03,2018-11-02,NA
"A01E",2783,"FAGR",0.01,2019-04-10,NA
"A01E",2783,"FAGR",0.02,2019-05-17,NA
"A01E",2783,"FAGR",0.02,2019-05-24,NA
"A01E",2783,"FAGR",0.02,2019-05-30,NA
"A01E",2783,"FAGR",0.02,2019-06-05,NA
"A01E",2783,"FAGR",0.02,2019-06-11,NA
"A01E",2783,"FAGR",0.02,2019-06-18,NA
"A01E",2783,"FAGR",0.03,2019-06-26,NA
"A01E",2783,"FAGR",0.04,2019-07-03,NA
"A01E",2783,"FAGR",0.06,2019-07-10,NA
"A01E",2783,"FAGR",0.08,2019-07-17,NA
"A01E",2783,"FAGR",0.09,2019-07-24,NA
"A01E",2783,"FAGR",0.1,2019-07-31,NA
"A01E",2783,"FAGR",0.1,2019-08-08,NA
"A01E",2783,"FAGR",0.1,2019-08-14,NA
"A01E",2783,"FAGR",0.12,2019-11-12,NA
"A01E",2785,"POGR",0.05,2018-11-02,NA
"A01E",2785,"POGR",0.04,2019-04-10,NA
"A01E",2785,"POGR",0.05,2019-05-17,NA
"A01E",2785,"POGR",0.05,2019-05-24,NA
"A01E",2785,"POGR",0.05,2019-05-30,NA
"A01E",2785,"POGR",0.05,2019-06-05,NA
"A01E",2785,"POGR",0.09,2019-06-11,NA
"A01E",2785,"POGR",0.1,2019-06-18,NA
"A01E",2785,"POGR",0.19,2019-06-26,NA
"A01E",2785,"POGR",0.32,2019-07-03,NA
"A01E",2785,"POGR",0.44,2019-07-10,NA
"A01E",2785,"POGR",0.58,2019-07-17,NA
"A01E",2785,"POGR",0.71,2019-07-24,NA
"A01E",2785,"POGR",0.84,2019-07-31,NA
"A01E",2785,"POGR",0.97,2019-08-08,NA
"A01E",2785,"POGR",1.04,2019-08-14,NA
"A01E",2785,"POGR",1.14,2019-11-12,NA
"A01E",2789,"POGR",0.04,2018-11-02,NA
"A01E",2789,"POGR",0.04,2019-04-10,NA
"A01E",2789,"POGR",0.05,2019-05-17,NA
"A01E",2789,"POGR",0.05,2019-05-24,NA
"A01E",2789,"POGR",0.05,2019-05-30,NA
"A01E",2789,"POGR",0.06,2019-06-05,NA
"A01E",2789,"POGR",0.08,2019-06-11,NA
"A01E",2789,"POGR",0.09,2019-06-18,NA
"A01E",2789,"POGR",0.16,2019-06-26,NA
"A01E",2789,"POGR",0.25,2019-07-03,NA
"A01E",2789,"POGR",0.35,2019-07-10,NA
"A01E",2789,"POGR",0.47,2019-07-17,NA
"A01E",2789,"POGR",0.6,2019-07-24,NA
"A01E",2789,"POGR",0.73,2019-07-31,NA
"A01E",2789,"POGR",0.88,2019-08-08,NA
"A01E",2789,"POGR",0.96,2019-08-14,NA
"A01E",2789,"POGR",1.15,2019-11-12,NA
"A01E",2791,"POGR",0.04,2018-11-02,NA
"A01E",2791,"POGR",0.01,2019-04-10,NA
"A01E",2791,"POGR",0.01,2019-05-17,NA
"A01E",2791,"POGR",0.02,2019-05-24,NA
"A01E",2791,"POGR",0.03,2019-05-30,NA
"A01E",2791,"POGR",0.03,2019-06-05,NA
"A01E",2791,"POGR",0.04,2019-06-11,NA
"A01E",2791,"POGR",0.05,2019-06-18,NA
"A01E",2791,"POGR",0.06,2019-06-26,NA
"A01E",2791,"POGR",0.07,2019-07-03,NA
"A01E",2791,"POGR",0.08,2019-07-10,NA
"A01E",2791,"POGR",0.1,2019-07-17,NA
"A01E",2791,"POGR",0.1,2019-07-24,NA
"A01E",2791,"POGR",0.11,2019-07-31,NA
"A01E",2791,"POGR",0.11,2019-08-08,NA
"A01E",2791,"POGR",0.14,2019-08-14,NA
"A01E",2791,"POGR",NA,2019-11-12,NA
"A01E",2792,"POGR",0.08,2018-11-02,NA
"A01E",2792,"POGR",0.04,2019-04-10,NA
"A01E",2792,"POGR",0.05,2019-05-17,NA
"A01E",2792,"POGR",0.05,2019-05-24,NA
"A01E",2792,"POGR",0.06,2019-05-30,NA
"A01E",2792,"POGR",0.06,2019-06-05,NA
"A01E",2792,"POGR",0.09,2019-06-11,NA
"A01E",2792,"POGR",0.1,2019-06-18,NA
"A01E",2792,"POGR",0.16,2019-06-26,NA
"A01E",2792,"POGR",0.22,2019-07-03,NA
"A01E",2792,"POGR",0.3,2019-07-10,NA
"A01E",2792,"POGR",0.38,2019-07-17,NA
"A01E",2792,"POGR",0.46,2019-07-24,NA
"A01E",2792,"POGR",0.55,2019-07-31,NA
"A01E",2792,"POGR",0.64,2019-08-08,NA
"A01E",2792,"POGR",0.7,2019-08-14,NA
"A01E",2792,"POGR",0.85,2019-11-12,NA
"A01E",2795,"ACSA",0.06,2018-11-02,NA
"A01E",2795,"ACSA",0.05,2019-04-10,NA
"A01E",2795,"ACSA",0.06,2019-05-17,NA
"A01E",2795,"ACSA",0.06,2019-05-24,NA
"A01E",2795,"ACSA",0.07,2019-05-30,NA
"A01E",2795,"ACSA",0.07,2019-06-05,NA
"A01E",2795,"ACSA",0.1,2019-06-11,NA
"A01E",2795,"ACSA",0.11,2019-06-18,NA
"A01E",2795,"ACSA",0.16,2019-06-26,NA
"A01E",2795,"ACSA",0.2,2019-07-03,NA
"A01E",2795,"ACSA",0.23,2019-07-10,NA
"A01E",2795,"ACSA",0.27,2019-07-17,NA
"A01E",2795,"ACSA",0.31,2019-07-24,NA
"A01E",2795,"ACSA",0.35,2019-07-31,NA
"A01E",2795,"ACSA",0.44,2019-08-08,NA
"A01E",2795,"ACSA",0.5,2019-08-14,NA
"A01E",2795,"ACSA",0.78,2019-11-12,NA
"A01E",2798,"POGR",0.01,2019-05-30,"new band"
"A01E",2798,"POGR",0.05,2019-06-05,NA
"A01E",2798,"POGR",0.11,2019-06-11,NA
"A01E",2798,"POGR",0.15,2019-06-18,NA
"A01E",2798,"POGR",0.23,2019-06-26,NA
"A01E",2798,"POGR",0.28,2019-07-03,NA
"A01E",2798,"POGR",0.34,2019-07-10,NA
"A01E",2798,"POGR",0.39,2019-07-17,NA
"A01E",2798,"POGR",0.43,2019-07-24,NA
"A01E",2798,"POGR",0.48,2019-07-31,NA
"A01E",2798,"POGR",0.51,2019-08-08,NA
"A01E",2798,"POGR",0.52,2019-08-14,NA
"A01E",2798,"POGR",0.37,2019-11-12,NA
"A01E",2803,"FAGR",0.06,2018-11-02,NA
"A01E",2803,"FAGR",0.05,2019-04-10,NA
"A01E",2803,"FAGR",0.05,2019-05-17,NA
"A01E",2803,"FAGR",0.05,2019-05-24,NA
"A01E",2803,"FAGR",0.05,2019-05-30,NA
"A01E",2803,"FAGR",0.05,2019-06-05,NA
"A01E",2803,"FAGR",0.05,2019-06-11,NA
"A01E",2803,"FAGR",0.05,2019-06-18,NA
"A01E",2803,"FAGR",0.09,2019-06-26,NA
"A01E",2803,"FAGR",0.12,2019-07-03,NA
"A01E",2803,"FAGR",0.16,2019-07-10,NA
"A01E",2803,"FAGR",0.19,2019-07-17,NA
"A01E",2803,"FAGR",0.21,2019-07-24,NA
"A01E",2803,"FAGR",0.24,2019-07-31,NA
"A01E",2803,"FAGR",0.27,2019-08-08,NA
"A01E",2803,"FAGR",0.28,2019-08-14,NA
"A01E",2803,"FAGR",0.28,2019-11-12,NA
"A01E",2812,"POGR",0.05,2018-11-02,NA
"A01E",2812,"POGR",0.03,2019-04-10,NA
"A01E",2812,"POGR",0.02,2019-05-17,NA
"A01E",2812,"POGR",0.03,2019-05-24,NA
"A01E",2812,"POGR",0.04,2019-05-30,NA
"A01E",2812,"POGR",0.04,2019-06-05,NA
"A01E",2812,"POGR",0.06,2019-06-11,NA
"A01E",2812,"POGR",0.06,2019-06-18,NA
"A01E",2812,"POGR",0.09,2019-06-26,NA
"A01E",2812,"POGR",0.11,2019-07-03,NA
"A01E",2812,"POGR",0.15,2019-07-10,NA
"A01E",2812,"POGR",0.19,2019-07-17,NA
"A01E",2812,"POGR",0.2,2019-07-24,NA
"A01E",2812,"POGR",0.21,2019-07-31,NA
"A01E",2812,"POGR",0.22,2019-08-08,NA
"A01E",2812,"POGR",0.22,2019-08-14,NA
"A01E",2812,"POGR",0.13,2019-11-12,NA
"A01E",2813,"ACSA",0,2018-11-02,NA
"A01E",2813,"ACSA",0.01,2019-04-10,NA
"A01E",2813,"ACSA",0.01,2019-05-17,NA
"A01E",2813,"ACSA",0.01,2019-05-24,NA
"A01E",2813,"ACSA",0.01,2019-05-30,NA
"A01E",2813,"ACSA",0.01,2019-06-05,NA
"A01E",2813,"ACSA",0.01,2019-06-11,NA
"A01E",2813,"ACSA",0.01,2019-06-18,NA
"A01E",2813,"ACSA",0.03,2019-06-26,NA
"A01E",2813,"ACSA",0.05,2019-07-03,NA
"A01E",2813,"ACSA",0.08,2019-07-10,NA
"A01E",2813,"ACSA",0.11,2019-07-17,NA
"A01E",2813,"ACSA",0.13,2019-07-24,NA
"A01E",2813,"ACSA",0.15,2019-07-31,NA
"A01E",2813,"ACSA",0.16,2019-08-08,NA
"A01E",2813,"ACSA",0.16,2019-08-14,NA
"A01E",2813,"ACSA",0.21,2019-11-12,NA
"A01E",2816,"ACRU",0.07,2018-11-02,NA
"A01E",2816,"ACRU",0.05,2019-04-10,NA
"A01E",2816,"ACRU",0.05,2019-05-17,NA
"A01E",2816,"ACRU",0.06,2019-05-24,NA
"A01E",2816,"ACRU",0.06,2019-05-30,NA
"A01E",2816,"ACRU",0.06,2019-06-05,NA
"A01E",2816,"ACRU",0.07,2019-06-11,NA
"A01E",2816,"ACRU",0.07,2019-06-18,NA
"A01E",2816,"ACRU",0.09,2019-06-26,NA
"A01E",2816,"ACRU",0.11,2019-07-03,NA
"A01E",2816,"ACRU",0.11,2019-07-10,NA
"A01E",2816,"ACRU",0.14,2019-07-17,NA
"A01E",2816,"ACRU",0.16,2019-07-24,NA
"A01E",2816,"ACRU",0.18,2019-07-31,NA
"A01E",2816,"ACRU",0.19,2019-08-08,NA
"A01E",2816,"ACRU",0.19,2019-08-14,NA
"A01E",2816,"ACRU",0.21,2019-11-12,NA
"A01E",2817,"POGR",0,2019-05-30,"new band"
"A01E",2817,"POGR",0.01,2019-06-05,NA
"A01E",2817,"POGR",0.05,2019-06-11,NA
"A01E",2817,"POGR",0.08,2019-06-18,NA
"A01E",2817,"POGR",0.12,2019-06-26,NA
"A01E",2817,"POGR",0.14,2019-07-03,NA
"A01E",2817,"POGR",0.15,2019-07-10,NA
"A01E",2817,"POGR",0.16,2019-07-17,NA
"A01E",2817,"POGR",0.17,2019-07-24,NA
"A01E",2817,"POGR",0.17,2019-07-31,NA
"A01E",2817,"POGR",0.17,2019-08-08,NA
"A01E",2817,"POGR",0.17,2019-08-14,NA
"A01E",2817,"POGR",NA,2019-11-12,NA
"A01E",2821,"FAGR",0.01,2018-11-02,NA
"A01E",2821,"FAGR",0.01,2019-04-10,NA
"A01E",2821,"FAGR",0.01,2019-05-17,NA
"A01E",2821,"FAGR",0.01,2019-05-24,NA
"A01E",2821,"FAGR",0.01,2019-05-30,NA
"A01E",2821,"FAGR",0.01,2019-06-05,NA
"A01E",2821,"FAGR",0.02,2019-06-11,NA
"A01E",2821,"FAGR",0.02,2019-06-18,NA
"A01E",2821,"FAGR",0.04,2019-06-26,NA
"A01E",2821,"FAGR",0.07,2019-07-03,NA
"A01E",2821,"FAGR",0.1,2019-07-10,NA
"A01E",2821,"FAGR",0.13,2019-07-17,NA
"A01E",2821,"FAGR",0.15,2019-07-24,"swollen w/ beech bark"
"A01E",2821,"FAGR",0.16,2019-07-31,NA
"A01E",2821,"FAGR",0.18,2019-08-08,NA
"A01E",2821,"FAGR",0.18,2019-08-14,NA
"A01E",2821,"FAGR",0.19,2019-11-12,NA
"A01E",2826,"POGR",0.08,2018-11-02,NA
"A01E",2826,"POGR",0.08,2019-04-10,NA
"A01E",2826,"POGR",0.08,2019-05-17,NA
"A01E",2826,"POGR",0.09,2019-05-24,NA
"A01E",2826,"POGR",0.09,2019-05-30,NA
"A01E",2826,"POGR",0.09,2019-06-05,NA
"A01E",2826,"POGR",0.1,2019-06-11,NA
"A01E",2826,"POGR",0.1,2019-06-18,NA
"A01E",2826,"POGR",0.11,2019-06-26,NA
"A01E",2826,"POGR",0.11,2019-07-03,NA
"A01E",2826,"POGR",0.13,2019-07-10,NA
"A01E",2826,"POGR",0.14,2019-07-17,NA
"A01E",2826,"POGR",0.15,2019-07-24,NA
"A01E",2826,"POGR",0.15,2019-07-31,NA
"A01E",2826,"POGR",0.15,2019-08-08,NA
"A01E",2826,"POGR",0.15,2019-08-14,NA
"A01E",2826,"POGR",NA,2019-11-12,NA
"A01E",2833,"FAGR",0.03,2018-11-02,NA
"A01E",2833,"FAGR",0.02,2019-04-10,NA
"A01E",2833,"FAGR",0.03,2019-05-17,NA
"A01E",2833,"FAGR",0.03,2019-05-24,NA
"A01E",2833,"FAGR",0.03,2019-05-30,NA
"A01E",2833,"FAGR",0.03,2019-06-05,NA
"A01E",2833,"FAGR",0.04,2019-06-11,NA
"A01E",2833,"FAGR",0.04,2019-06-18,NA
"A01E",2833,"FAGR",0.08,2019-06-26,NA
"A01E",2833,"FAGR",0.12,2019-07-03,NA
"A01E",2833,"FAGR",0.16,2019-07-10,NA
"A01E",2833,"FAGR",0.2,2019-07-17,NA
"A01E",2833,"FAGR",0.23,2019-07-24,NA
"A01E",2833,"FAGR",0.26,2019-07-31,NA
"A01E",2833,"FAGR",0.29,2019-08-08,NA
"A01E",2833,"FAGR",0.29,2019-08-14,NA
"A01E",2833,"FAGR",0.33,2019-11-12,NA
"A01E",2834,"FAGR",0,2018-11-02,NA
"A01E",2834,"FAGR",0.01,2019-04-10,NA
"A01E",2834,"FAGR",0,2019-05-17,NA
"A01E",2834,"FAGR",0.01,2019-05-24,NA
"A01E",2834,"FAGR",0.01,2019-05-30,NA
"A01E",2834,"FAGR",0.01,2019-06-05,NA
"A01E",2834,"FAGR",0.01,2019-06-11,"Bad angle; hard to read"
"A01E",2834,"FAGR",0.01,2019-06-18,"Bad angle; hard to read"
"A01E",2834,"FAGR",0.01,2019-06-26,NA
"A01E",2834,"FAGR",0.01,2019-07-03,NA
"A01E",2834,"FAGR",0.01,2019-07-10,NA
"A01E",2834,"FAGR",0.01,2019-07-17,NA
"A01E",2834,"FAGR",0.01,2019-07-24,"dead"
"A01E",2834,"FAGR",0.01,2019-07-31,NA
"A01E",2834,"FAGR",0.01,2019-08-08,NA
"A01E",2834,"FAGR",0.01,2019-08-14,NA
"A01E",2834,"FAGR",0.01,2019-11-12,NA
"A01E",2842,"ACSA",0.04,2018-11-02,NA
"A01E",2842,"ACSA",0.03,2019-04-10,NA
"A01E",2842,"ACSA",0.03,2019-05-17,NA
"A01E",2842,"ACSA",0.04,2019-05-24,NA
"A01E",2842,"ACSA",0.04,2019-05-30,NA
"A01E",2842,"ACSA",0.04,2019-06-05,NA
"A01E",2842,"ACSA",0.04,2019-06-11,NA
"A01E",2842,"ACSA",0.05,2019-06-18,NA
"A01E",2842,"ACSA",0.07,2019-06-26,NA
"A01E",2842,"ACSA",0.11,2019-07-03,NA
"A01E",2842,"ACSA",0.13,2019-07-10,NA
"A01E",2842,"ACSA",0.15,2019-07-17,NA
"A01E",2842,"ACSA",0.16,2019-07-24,NA
"A01E",2842,"ACSA",0.18,2019-07-31,NA
"A01E",2842,"ACSA",0.19,2019-08-08,NA
"A01E",2842,"ACSA",0.2,2019-08-14,NA
"A01E",2842,"ACSA",0.23,2019-11-12,NA
"A01E",2844,"ACSA",0.01,2018-11-02,NA
"A01E",2844,"ACSA",0.01,2019-04-10,NA
"A01E",2844,"ACSA",0.01,2019-05-17,NA
"A01E",2844,"ACSA",0.02,2019-05-24,NA
"A01E",2844,"ACSA",0.03,2019-05-30,NA
"A01E",2844,"ACSA",0.03,2019-06-05,NA
"A01E",2844,"ACSA",0.06,2019-06-11,NA
"A01E",2844,"ACSA",0.08,2019-06-18,NA
"A01E",2844,"ACSA",0.14,2019-06-26,NA
"A01E",2844,"ACSA",0.19,2019-07-03,NA
"A01E",2844,"ACSA",0.19,2019-07-10,NA
"A01E",2844,"ACSA",0.2,2019-07-17,NA
"A01E",2844,"ACSA",0.2,2019-07-24,NA
"A01E",2844,"ACSA",0.21,2019-07-31,NA
"A01E",2844,"ACSA",0.21,2019-08-08,NA
"A01E",2844,"ACSA",0.21,2019-08-14,NA
"A01E",2844,"ACSA",0.23,2019-11-12,NA
"A01E",2854,"FAGR",0.01,2018-11-02,NA
"A01E",2854,"FAGR",0.01,2019-04-10,NA
"A01E",2854,"FAGR",0.01,2019-05-17,NA
"A01E",2854,"FAGR",0.01,2019-05-24,NA
"A01E",2854,"FAGR",0.01,2019-05-30,NA
"A01E",2854,"FAGR",0.01,2019-06-05,NA
"A01E",2854,"FAGR",0.01,2019-06-11,NA
"A01E",2854,"FAGR",0.01,2019-06-18,NA
"A01E",2854,"FAGR",0.01,2019-06-26,NA
"A01E",2854,"FAGR",0.01,2019-07-03,NA
"A01E",2854,"FAGR",0.01,2019-07-10,NA
"A01E",2854,"FAGR",0.01,2019-07-17,NA
"A01E",2854,"FAGR",0.01,2019-07-24,NA
"A01E",2854,"FAGR",0.01,2019-07-31,NA
"A01E",2854,"FAGR",0.01,2019-08-08,NA
"A01E",2854,"FAGR",0.01,2019-08-14,NA
"A01E",2854,"FAGR",0.01,2019-11-12,NA
"A01E",2855,"FAGR",0,2018-11-02,NA
"A01E",2855,"FAGR",-0.04,2019-04-10,NA
"A01E",2855,"FAGR",-0.04,2019-05-17,NA
"A01E",2855,"FAGR",-0.04,2019-05-24,NA
"A01E",2855,"FAGR",-0.04,2019-05-30,NA
"A01E",2855,"FAGR",-0.04,2019-06-05,NA
"A01E",2855,"FAGR",-0.03,2019-06-11,NA
"A01E",2855,"FAGR",-0.03,2019-06-18,NA
"A01E",2855,"FAGR",-0.02,2019-06-26,NA
"A01E",2855,"FAGR",0,2019-07-03,NA
"A01E",2855,"FAGR",0,2019-07-10,NA
"A01E",2855,"FAGR",0.02,2019-07-17,NA
"A01E",2855,"FAGR",0.03,2019-07-24,NA
"A01E",2855,"FAGR",0.04,2019-07-31,NA
"A01E",2855,"FAGR",0.05,2019-08-08,NA
"A01E",2855,"FAGR",0.05,2019-08-14,NA
"A01E",2855,"FAGR",0.08,2019-11-12,NA
"A01E",2862,"FAGR",0.02,2018-11-02,NA
"A01E",2862,"FAGR",0.01,2019-04-10,NA
"A01E",2862,"FAGR",0.01,2019-05-17,NA
"A01E",2862,"FAGR",0.02,2019-05-24,NA
"A01E",2862,"FAGR",0.02,2019-05-30,NA
"A01E",2862,"FAGR",0.02,2019-06-05,NA
"A01E",2862,"FAGR",0.02,2019-06-11,NA
"A01E",2862,"FAGR",0.03,2019-06-18,NA
"A01E",2862,"FAGR",0.05,2019-06-26,NA
"A01E",2862,"FAGR",0.05,2019-07-03,NA
"A01E",2862,"FAGR",0.06,2019-07-10,NA
"A01E",2862,"FAGR",0.08,2019-07-17,NA
"A01E",2862,"FAGR",0.1,2019-07-24,NA
"A01E",2862,"FAGR",0.11,2019-07-31,NA
"A01E",2862,"FAGR",0.11,2019-08-08,NA
"A01E",2862,"FAGR",0.11,2019-08-14,NA
"A01E",2862,"FAGR",0.11,2019-11-12,NA
"A01W",2876,"FAGR",0.03,2018-11-02,NA
"A01W",2876,"FAGR",NA,2019-04-10,NA
"A01W",2876,"FAGR",0.01,2019-05-17,NA
"A01W",2876,"FAGR",0.01,2019-05-24,NA
"A01W",2876,"FAGR",0.02,2019-05-30,NA
"A01W",2876,"FAGR",0.02,2019-06-05,NA
"A01W",2876,"FAGR",0.03,2019-06-11,NA
"A01W",2876,"FAGR",0.03,2019-06-18,NA
"A01W",2876,"FAGR",0.06,2019-06-26,NA
"A01W",2876,"FAGR",0.08,2019-07-03,NA
"A01W",2876,"FAGR",0.1,2019-07-10,NA
"A01W",2876,"FAGR",0.13,2019-07-17,NA
"A01W",2876,"FAGR",0.15,2019-07-24,NA
"A01W",2876,"FAGR",0.16,2019-07-31,NA
"A01W",2876,"FAGR",0.18,2019-08-08,NA
"A01W",2876,"FAGR",0.19,2019-08-14,NA
"A01W",2876,"FAGR",0.22,2019-11-12,NA
"A01W",2887,"FAGR",0.05,2018-11-02,NA
"A01W",2887,"FAGR",0.06,2019-04-10,NA
"A01W",2887,"FAGR",0.06,2019-05-17,NA
"A01W",2887,"FAGR",0.06,2019-05-24,NA
"A01W",2887,"FAGR",0.06,2019-05-30,NA
"A01W",2887,"FAGR",0.06,2019-06-05,NA
"A01W",2887,"FAGR",0.06,2019-06-11,"Band 6"" from girdle; move band up "
"A01W",2887,"FAGR",0.06,2019-06-18,"Band 6"" from girdle; move band up "
"A01W",2887,"FAGR",0.06,2019-06-26,NA
"A01W",2887,"FAGR",0.06,2019-07-03,NA
"A01W",2887,"FAGR",0.06,2019-07-10,NA
"A01W",2887,"FAGR",0.06,2019-07-17,NA
"A01W",2887,"FAGR",0.06,2019-07-24,NA
"A01W",2887,"FAGR",0.06,2019-07-31,NA
"A01W",2887,"FAGR",0.06,2019-08-08,NA
"A01W",2887,"FAGR",0.06,2019-08-14,NA
"A01W",2887,"FAGR",0.07,2019-11-12,NA
"A01W",2890,"ACRU",0.01,2018-11-02,NA
"A01W",2890,"ACRU",-0.03,2019-04-10,NA
"A01W",2890,"ACRU",-0.03,2019-05-17,NA
"A01W",2890,"ACRU",-0.02,2019-05-24,NA
"A01W",2890,"ACRU",-0.04,2019-05-30,NA
"A01W",2890,"ACRU",-0.03,2019-06-05,NA
"A01W",2890,"ACRU",-0.02,2019-06-11,NA
"A01W",2890,"ACRU",-0.02,2019-06-18,NA
"A01W",2890,"ACRU",0.01,2019-06-26,NA
"A01W",2890,"ACRU",0.05,2019-07-03,NA
"A01W",2890,"ACRU",0.09,2019-07-10,NA
"A01W",2890,"ACRU",0.15,2019-07-17,NA
"A01W",2890,"ACRU",0.19,2019-07-24,NA
"A01W",2890,"ACRU",0.22,2019-07-31,NA
"A01W",2890,"ACRU",0.25,2019-08-08,NA
"A01W",2890,"ACRU",0.26,2019-08-14,NA
"A01W",2890,"ACRU",0.36,2019-11-12,NA
"A01W",2897,"FAGR",0.03,2018-11-02,NA
"A01W",2897,"FAGR",0.01,2019-04-10,NA
"A01W",2897,"FAGR",0.01,2019-05-17,NA
"A01W",2897,"FAGR",0.01,2019-05-24,NA
"A01W",2897,"FAGR",0.01,2019-05-30,NA
"A01W",2897,"FAGR",0.01,2019-06-05,NA
"A01W",2897,"FAGR",0.01,2019-06-11,NA
"A01W",2897,"FAGR",0.02,2019-06-18,NA
"A01W",2897,"FAGR",0.03,2019-06-26,NA
"A01W",2897,"FAGR",0.05,2019-07-03,NA
"A01W",2897,"FAGR",0.06,2019-07-10,NA
"A01W",2897,"FAGR",0.08,2019-07-17,NA
"A01W",2897,"FAGR",0.09,2019-07-24,NA
"A01W",2897,"FAGR",0.1,2019-07-31,NA
"A01W",2897,"FAGR",0.1,2019-08-08,NA
"A01W",2897,"FAGR",0.1,2019-08-14,NA
"A01W",2897,"FAGR",0.11,2019-11-12,NA
"A01W",2901,"ACRU",0.06,2018-11-02,NA
"A01W",2901,"ACRU",0.06,2019-04-10,NA
"A01W",2901,"ACRU",0.06,2019-05-17,NA
"A01W",2901,"ACRU",0.06,2019-05-24,NA
"A01W",2901,"ACRU",0.06,2019-05-30,NA
"A01W",2901,"ACRU",0.06,2019-06-05,NA
"A01W",2901,"ACRU",0.06,2019-06-11,NA
"A01W",2901,"ACRU",0.07,2019-06-18,NA
"A01W",2901,"ACRU",0.1,2019-06-26,NA
"A01W",2901,"ACRU",0.13,2019-07-03,NA
"A01W",2901,"ACRU",0.16,2019-07-10,NA
"A01W",2901,"ACRU",0.2,2019-07-17,NA
"A01W",2901,"ACRU",0.24,2019-07-24,NA
"A01W",2901,"ACRU",0.28,2019-07-31,NA
"A01W",2901,"ACRU",0.3,2019-08-08,NA
"A01W",2901,"ACRU",0.31,2019-08-14,NA
"A01W",2901,"ACRU",0.37,2019-11-12,NA
"A01W",2916,"ACSA",0.04,2018-11-02,NA
"A01W",2916,"ACSA",0.04,2019-04-10,NA
"A01W",2916,"ACSA",0.04,2019-05-17,NA
"A01W",2916,"ACSA",0.04,2019-05-24,NA
"A01W",2916,"ACSA",0.04,2019-05-30,NA
"A01W",2916,"ACSA",0.04,2019-06-05,NA
"A01W",2916,"ACSA",0.07,2019-06-11,NA
"A01W",2916,"ACSA",0.08,2019-06-18,NA
"A01W",2916,"ACSA",0.12,2019-06-26,NA
"A01W",2916,"ACSA",0.15,2019-07-03,NA
"A01W",2916,"ACSA",0.16,2019-07-10,NA
"A01W",2916,"ACSA",0.2,2019-07-17,NA
"A01W",2916,"ACSA",0.22,2019-07-24,NA
"A01W",2916,"ACSA",0.24,2019-07-31,NA
"A01W",2916,"ACSA",0.25,2019-08-08,NA
"A01W",2916,"ACSA",0.26,2019-08-14,NA
"A01W",2916,"ACSA",0.31,2019-11-12,NA
"A01W",2920,"POGR",0.06,2018-11-02,NA
"A01W",2920,"POGR",0.07,2019-04-10,NA
"A01W",2920,"POGR",0.07,2019-05-17,NA
"A01W",2920,"POGR",0.07,2019-05-24,NA
"A01W",2920,"POGR",0.07,2019-05-30,NA
"A01W",2920,"POGR",0.07,2019-06-05,NA
"A01W",2920,"POGR",0.08,2019-06-11,NA
"A01W",2920,"POGR",0.08,2019-06-18,NA
