tag,species,fate,DBH_cm,bottom (in),top,date,notes 
3,ACRU,kill,11.7,0.78,0.33,2020-11-16,
4,ACRU,kill,12.7,0.69,0.18,2020-11-16,
11,PIST,kill,13.1,1.25,0.3,2020-11-16,
50,PIST,kill,9.5,1.96,1.04,2020-11-16,new tag 422
52,PIST,kill,10.4,0.47,0,2020-11-16,new tag 424
83,PIST,kill,14.1,1.11,0.24,2020-11-16,
140,PIST,kill,15.5,1.32,0.35,2020-11-16,
145,ACRU,live,10.9,0.05,0.05,2020-11-16,
147,ACRU,live,15.8,0.24,0,2020-11-16,
182,QURU,kill,34.5,0.76,0.33,2020-11-16,
196,PIST,live,15.1,1.09,0.72,2020-11-16,
204,QURU,kill,27.7,0.11,0.09,2020-11-16,
208,PIST,live,8.9,0.84,0.13,2020-11-16,new double band
379,QURU,kill,34.9,0.09,0,2020-11-16,
404,QURU,live,29,0.56,0.36,2020-11-16,
436,ACRU,kill,12.9,0.61,0.31,2020-11-16,
445,POGR,live,27.5,0.64,0.41,2020-11-16,
449,ACRU,kill,14.9,0.71,0.33,2020-11-16,
459,QURU,live,34,0.71,0.46,2020-11-16,
480,POGR,kill,22,0.22,0.07,2020-11-16,
486,ACRU,kill,8.1,0.16,0.14,2020-11-16,
495,POGR,live,29.6,0.99,0.47,2020-11-16,
501,QURU,kill,29.4,0.6,0.34,2020-11-16,
506,POGR,kill,23.1,1.46,0.64,2020-11-16,
514,POGR,kill,33.6,0.41,1.9,2020-11-16,
520,QURU,kill,34.5,0.76,0.43,2020-11-16,
543,PIST,live,11.6,0.87,0.41,2020-11-16,
545,POGR,live,26.1,0.47,0.19,2020-11-16,
554,POGR,kill,28.7,1.74,0.19,2020-11-16,
557,ACRU,live,8.7,0.08,0,2020-11-16,
564,PIST,live,9.1,0.43,0.23,2020-11-16,
574,QURU,live,28.1,0.77,0.63,2020-11-16,
579,POGR,kill,20.2,0.31,0.1,2020-11-16,felled
2357,ACSA,live,15,0.59,0.34,2020-11-18,
2441,ACSA,live,12.5,0.36,0.3,2020-11-18,
2466,ACSA,kill,8.9,0.47,0.2,2020-11-18,
2476,ACSA,kill,14.8,0.65,0.33,2020-11-18,
2477,ACSA,kill,10.5,1.04,0.56,2020-11-18,
2496,ACSA,kill,18.7,0.57,0.43,2020-11-18,
2536,ACSA,live,32.6,0.47,0.28,2020-11-18,
2548,ACSA,kill,16.8,0.13,0.06,2020-11-18,
